지점,지점명,위도,경도,노장해발고도(m)
3,선봉,42.3167,130.4,3
5,삼지연,41.8167,128.3167,1386
8,청진,41.7833,129.8167,43
12,안면도(감),36.5333,126.3167,60
13,고산센터,33.3,126.16,71
14,중강,41.7833,126.8833,332
16,혜산,41.4,128.1667,714
20,강계,40.9667,126.6,306
22,풍산,40.8167,128.15,1206
25,김책,40.6667,129.2,23
28,수풍,40.45,124.9333,83
31,장진,40.3667,127.25,1081
35,신의주,40.1,124.3833,7
37,구성,39.9833,125.25,99
39,희천,40.1667,126.25,155
41,함흥,39.9333,127.55,38
46,신포,40.0333,128.1833,19
50,안주,39.6167,125.65,27
52,양덕,39.1667,126.8333,279
55,원산,39.1833,127.4333,36
58,평양,39.0333,125.7833,38
60,남포,38.7167,125.3667,47
61,장전,38.7333,128.1833,35
65,사리원,38.5167,125.7667,52
67,신계,38.5,126.5333,100
68,용연,38.2,124.8833,5
69,해주,38.0333,125.7,81
70,개성,37.9667,126.5667,70
75,평강,38.4,127.3,371
90,속초,38.2509,128.5647,18.06
90,속초,38.2509,128.5647,17.53
92,양양공항,38.0667,128.6667,75.4
93,북춘천,37.9475,127.7547,95.61
93,북춘천,37.9474,127.7544,95.78
94,광덕산,38.1172,127.4333,1066
95,철원,38.1479,127.3042,155.48
96,독도,37.2395,131.8698,99.08
96,독도,37.2395,131.8698,96.15
98,동두천,37.9019,127.0607,115.62
99,파주,37.8859,126.7665,30.59
99,파주,37.8859,126.7665,29.42
100,대관령,37.6771,128.7183,772.43
100,대관령,37.6771,128.7183,772.57
100,대관령,37.6869,128.7587,842.52
101,춘천,37.9026,127.7357,75.82
101,춘천,37.9026,127.7357,76.47
102,백령도,37.974,124.7124,36
102,백령도,37.9661,124.6305,146
102,백령도,37.9661,124.6305,146
102,백령도,37.9661,124.6305,144.86
102,백령도,37.9661,124.6305,144.86
104,북강릉,37.8046,128.8554,75.24
105,강릉,37.7515,128.891,27.12
106,동해,37.5071,129.1243,40.46
108,서울,37.5714,126.9658,85.8
108,서울,37.5714,126.9658,85.5
108,서울,37.5714,126.9658,85.5
110,김포공항,37.5569,126.7975,11.38
112,인천,37.4777,126.6249,68.99
112,인천,37.4776,126.6244,68.15
113,인천공항,37.4625,126.4392,7.1
114,원주,37.3375,127.9466,150.11
115,울릉도독도(감),37.4813,130.8986,222.8
115,울릉도독도(감),37.48,130.9,220.9
115,울릉도,37.4813,130.8986,221.14
115,울릉도독도(감),37.4813,130.8986,222.8
116,관악산,37.4453,126.964,622.38
116,관악(레),37.4453,126.964,624.82
116,관악(레),37.4453,126.964,624.82
116,관악(레),37.4433,126.967,634
116,관악산,37.4442,126.9639,626.76
116,관악산,37.4442,126.9639,626.76
119,수원,37.2723,126.9853,34.06
119,수원,37.2575,126.983,39.81
119,수원(농),37.2695,126.9875,33.6
119,수원,37.2723,126.9853,34.84
121,영월,37.1813,128.4574,240.6
121,영월,37.1813,128.4574,240.54
127,충주,36.9705,127.9525,114.85
129,서산(농),36.7737,126.4959,25.93
129,서산,36.7766,126.4939,25.25
130,울진,36.9918,129.4128,48.98
130,울진,36.9918,129.4128,50
130,울진,36.9918,129.4128,48.98
131,청주,36.6392,127.4407,58.7
132,안면도(감),36.5383,126.33,45.7
132,안면도(감),36.54,126.33,47
132,안면도(감),36.5383,126.33,45.7
133,대전,36.372,127.3721,67.79
135,추풍령,36.2203,127.9946,244.98
135,추풍령,36.2202,127.9946,244.73
136,안동,36.5729,128.7073,141.26
136,안동,36.5729,128.7073,140.1
136,안동,36.5729,128.7073,141.26
136,안동,36.5729,128.7073,140.1
136,안동,36.573,128.7073,139.39
137,상주,36.4084,128.1574,96.58
138,포항,36.032,129.38,3.94
140,군산,36.0053,126.7614,23.2
140,군산,36.0053,126.7614,27.85
140,군산,35.993,126.7057,25.57
143,대구,35.8852,128.619,64.08
143,대구,35.878,128.653,54.27
143,대구,35.8282,128.6522,53.4
144,군산(레),36.0123,126.7834,198.61
144,오성산,36.0127,126.7839,227.41
146,전주,35.8409,127.1172,60.44
