지점,지점명,위도,경도,노장해발고도(m)
3,선봉,42.3167,130.4,3
5,삼지연,41.8167,128.3167,1386
8,청진,41.7833,129.8167,43
14,중강,41.7833,126.8833,332
16,혜산,41.4,128.1667,714
20,강계,40.9667,126.6,306
22,풍산,40.8167,128.15,1206
25,김책,40.6667,129.2,23
28,수풍,40.45,124.9333,83
31,장진,40.3667,127.25,1081
35,신의주,40.1,124.3833,7
37,구성,39.9833,125.25,99
39,희천,40.1667,126.25,155
41,함흥,39.9333,127.55,38
46,신포,40.0333,128.1833,19
50,안주,39.6167,125.65,27
52,양덕,39.1667,126.8333,279
55,원산,39.1833,127.4333,36
58,평양,39.0333,125.7833,38
60,남포,38.7167,125.3667,47
61,장전,38.7333,128.1833,35
65,사리원,38.5167,125.7667,52
67,신계,38.5,126.5333,100
68,용연,38.2,124.8833,5
69,해주,38.0333,125.7,81
70,개성,37.9667,126.5667,70
75,평강,38.4,127.3,371
